country,date,name,price,weight
nic,1/14/2022,frijol sabemas rojo ,97,1.82
nic,1/14/2022,azucar golden brown morena ,74,2.0
nic,1/14/2022,arroz el faisan  ,99,2.0
nic,1/14/2022,azucar mote rosa sulfitada ,59,2.0
nic,1/14/2022,galleta nabisco oreo regular ,75,0.43
nic,1/14/2022,sal sol refinada yodada bolsa ,15,0.5
nic,1/14/2022,galleta club social integral ,38,0.23
nic,1/14/2022,galleta pozuelo maria  unidades ,52,0.25
nic,1/14/2022,sopa pollo con fideos maggi ,12,0.06
nic,1/14/2022,naturas salsa tomate ketchup dp,34,0.38
nic,1/14/2022,sal atlantidauesa molida y seca,7,0.45
nic,1/14/2022,azucar san antonio refinada ,74,2.0
nic,1/14/2022,harina de maiz maseca bolsa ,100,2.27
nic,1/14/2022,arroz carolinaano entero,83,2.0
nic,1/14/2022,avena sasa molida ,30,0.4
nic,1/14/2022,vinagre sabemas claro ,19,0.7
nic,1/14/2022,maizeat value lata  .oz ,35,0.25
nic,1/14/2022,avena sabemas en hojuelas ,59,1.0
nic,1/14/2022,arroz / el faisan ,329,6.8
nic,1/14/2022,arroz faisan ,449,11.34
nic,1/14/2022,pasta naturas de tomate tradicional ,37,0.21
nic,1/14/2022,cafe selecto molido superior ,131,0.4
nic,1/14/2022,pinolillo sabemas ,21,0.4
nic,1/14/2022,arroz tio pelonano entero  ,71,2.0
nic,1/14/2022,galleta de maiz sanissimo salmas ,58,0.14
nic,1/14/2022,frijol sabemasano rojo ,47,0.9
nic,1/14/2022,miel aunt jemma original pancake ,71,0.36
nic,1/14/2022,aceiteeat value oliva extra virgen ,162,0.75
nic,1/14/2022,mezclaeat value panqueques original ,88,0.91
nic,1/14/2022,,21,
nic,1/14/2022,sopa criolla gallina con fideo maggi ,12,0.06
nic,1/14/2022,azucar monte rosa sulfitada ,296,10.0
nic,1/14/2022,mostaza hellmanns doy pack ,23,0.2
nic,1/14/2022,galleta pozuelo recreo bolsa ,67,0.38
nic,1/14/2022,avena sasa en hojuela ,22,0.3
nic,1/14/2022,jalea callejas de guayaba ,27,0.1
nic,1/14/2022,cafâ toro,14,0.11
nic,1/14/2022,mostazaeat value,38,0.4
nic,1/14/2022,tajadas laanja de platano ,67,0.3
nic,1/14/2022,cubito pollo maggi abre facil ,24,0.1
nic,1/14/2022,harina de maiz del comal ,39,0.91
nic,1/14/2022,frijol suli rojo ,93,1.82
nic,1/14/2022,arroz suli aanel  ,16,0.45
nic,1/14/2022,frijol sabemasanel rojo  ,22,0.45
nic,1/14/2022,atún gaviota lomo trozos en agua ,49,0.1
nic,1/14/2022,salsa kern's tomte ketchup doy pack ,35,0.4
nic,1/14/2022,cafe molido segovia puro regular ,105,0.4
nic,1/14/2022,pasta roma plumas ,21,0.2
nic,1/14/2022,aceituna rellenas c/ piemiento manz g,50,0.2
nic,1/14/2022,harina suli para pancake ,41,0.45
nic,1/14/2022,te gv de manzanilla ,22,0.02
nic,1/14/2022,arroz tio pelonano entero / ,91,2.0
nic,1/14/2022,petit pois herdez en lata ,46,0.21
nic,1/14/2022,boquitas diana churritos sabr queso,26,0.1
nic,1/14/2022,tortilla diana de maiz jalapeños ,26,0.16
nic,1/14/2022,salsa inglesa mccormick ,82,0.3
nic,1/14/2022,ketchup kern's botella plastico ,80,0.78
nic,1/14/2022,vegetales mixtos herdez lata,47,0.4
nic,1/14/2022,maiz dulce herdez lata,40,0.22
nic,1/14/2022,galleta pozuelo tipo   unidades,48,0.3
nic,1/14/2022,aceite rico vegetal ,381,5.0
nic,1/14/2022,crema hongos maggi ,17,0.06
nic,1/14/2022,cerealeat value crispy rice,150,0.55
nic,1/14/2022,pasta roma de coditos ,21,0.2
nic,1/14/2022,salsaeat value tomate ketchup ,169,1.81
nic,1/14/2022,ajo sabemas en polvo bolsa ,8,0.02
nic,1/14/2022,galleta ritz queso ,81,0.41
nic,1/14/2022,consome pollo maggi sabor y color tira x,42,0.01
nic,1/14/2022, pack atun suli trocitos en aceite ,112,0.4
